test_id;Question;SPARQL query;Extracted_properties_str
test_42;What are the nearest cultural heritage sites within a 25 km radius of the coordinates (52.241980731490386, -3.564224203100305)? Include archaeological sites, historical monuments, historical city centres, historic sites, heritage sites, historic districts, battlefields, former settlements, historic buildings, historic houses, ancient cities, and heritage properties. Provide their item IDs, geocoordinates, and distances, and order outputs by ascending distance, limited to 100 results.;"PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?site ?geo ?distance WHERE { { ?site wdt:P31 / wdt:P279 * wd:Q839954 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q916475 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q676050 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q1081138 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q358 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q15243209 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q4895508 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q22674925 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q35112127 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q5773747 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q15661340 . } UNION { ?site wdt:P31 / wdt:P279 * wd:Q2434238 . } ?site wdt:P31 ?class . SERVICE wikibase:around { ?site wdt:P625 ?geo . bd:serviceParam wikibase:center ""Point(-3.564224203100305 52.241980731490386)"" ^^ geo:wktLiteral . bd:serviceParam wikibase:radius ""25"" . bd:serviceParam wikibase:distance ?distance . } } GROUP BY ?site ?geo ?distance ORDER BY ASC ( ?distance ) LIMIT 100";P31, P279, P625
test_43;Get a list of roller coasters and their respective countries, if available.;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?country WHERE { ?item wdt:P31 wd:Q204832 . optional { ?item wdt:P17 ?country . } };P31, P17
test_44;What are the dimensions, items, SI conversions, and units for items that have a conversion to SI unit and a measured physical quantity?;PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> SELECT ?dimension ?item ?siconv ?unit WHERE { ?item p:P2370 / psv:P2370 ?var . ?var wikibase:quantityAmount ?siconv . ?var wikibase:quantityUnit ?unit . ?item wdt:P111 ?dimension . };P111
test_45;What was the total revenue (and revenue unit) of the German nature conservation organization Naturschutzbund Deutschland on January 1, 2019?;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?amount ?unit WHERE { wd:Q516755 p:P2139 ?statement . ?statement psv:P2139 ?full_value . ?statement pq:P585 ""2019-01-01"" ^^ xsd:dateTime . ?full_value wikibase:quantityAmount ?amount . ?full_value wikibase:quantityUnit ?unit . }";
test_46;What are the shortest wars on Wikidata? Please include their start times, end times, and duration in days (calculated either from the duration in seconds or from the difference between the start and end times, if available). Order results by duration and start time, and limit to 15 rows.;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?start ?end ?days { ?item wdt:P31 / wdt:P279 * wd:Q198 . OPTIONAL { ?item p:P2047 / psn:P2047 / wikibase:quantityAmount ?duration_seconds . BIND ( ?duration_seconds / 86400 AS ?days1 ) } OPTIONAL { ?item p:P580 / psv:P580 [ wikibase:timeValue ?start ; wikibase:timePrecision 11 ] . ?item p:P582 / psv:P582 [ wikibase:timeValue ?end ; wikibase:timePrecision 11 ] . BIND ( xsd:integer ( ?end - ?start ) AS ?days2 ) } BIND ( COALESCE ( ?days1 , ?days2 ) AS ?days ) FILTER BOUND ( ?days ) } ORDER BY ?days ?start LIMIT 15";P31, P279
test_47;What is the total number of Nobel Prizes received by individuals from each country for each year, grouped by year and country?;"SELECT  ?year ?country (COUNT(?human) AS ?TotalYearlyPrizeNumberByCountry)
WITH
{
  SELECT * WHERE {
    ?human (p:P166) ?awardStatement.
    ?awardStatement ps:P166/wdt:P279* wd:Q7191.
          ?awardStatement pq:P585 ?date.
    ?human  wdt:P27 ?country.
          bind(str(YEAR(?date)) AS ?year)
    }
} AS %results
WHERE
{
    INCLUDE %results.
}
GROUP BY ?year ?country  
";P279, P27
test_48;"What are the items referenced in the publication ""Echinoderms from Australia, an account of collections made in 1929 and 1932,"" along with their best-ranked synonym (if any), roles of the references (if available), and page numbers (if available)?";PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX pr: <http://www.wikidata.org/prop/reference/> PREFIX prov: <http://www.w3.org/ns/prov#> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?synOf ?refHasRole ?Pages WHERE { ?reference pr:P248 ?publication . FILTER ( ?publication IN ( wd:Q56025286 ) ) ?reference ^ prov:wasDerivedFrom ?st . ?st ^ p:P225 ?item . OPTIONAL { ?item p:P2868 ?syn_st . ?syn_st a wikibase:BestRank . ?syn_st ps:P2868 wd:Q1040689 . ?syn_st pq:P642 ?synOf . } OPTIONAL { ?reference pr:P6184 ?refHasRole . } OPTIONAL { ?reference pr:P304 ?Pages . } OPTIONAL { ?reference pr:P1992 ?PlaziID . } OPTIONAL { ?reference pr:P687 ?BHLpageID . } };
test_49;What are the cultural heritage items located in Helsinki? Please provide their year of creation (if available), commemorated entities (if available), images (if available), and coordinates (if available), and order by item ID.;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?år_skapad ?tillminnetav ?image ?coords WHERE { ?item wdt:P31 / wdt:P279 * wd:Q210272 . ?item wdt:P131 wd:Q1757 . OPTIONAL { ?item wdt:P571 ?p571 . BIND ( YEAR ( ?p571 ) AS ?år_skapad ) } OPTIONAL { ?item wdt:P547 ?tillminnetav } OPTIONAL { ?item wdt:P18 ?image } OPTIONAL { ?item wdt:P625 ?coords } } ORDER BY ?item;P31, P279, P131, P571, P547, P18, P625
test_50;What are the details of nuclear weapons tests, excluding those that are part of a nuclear test series? For each test, include the date (if available), operator (if available), explosive energy equivalent (if available), and their energy equivalent in kilotons (if available).;"PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?essai_nucl_aire ?date ?op_rateur ?tnt ?equivalent_nergie_kT WHERE { SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } ?essai_nucl_aire ( wdt:P31 / wdt:P279 * ) wd:Q210112 . MINUS { ?essai_nucl_aire ( wdt:P31 / wdt:P279 * ) wd:Q98391050 . } OPTIONAL { ?essai_nucl_aire wdt:P585 ?date . } OPTIONAL { ?essai_nucl_aire wdt:P137 ?op_rateur . } OPTIONAL { ?essai_nucl_aire wdt:P2145 ?tnt . } OPTIONAL { ?essai_nucl_aire p:P2145 ?yield_statement . ?yield_statement a wikibase:BestRank . ?yield_statement psv:P2145 ?yield_value . ?yield_value wikibase:quantityAmount ?yield . ?yield_value wikibase:quantityUnit ?unit . ?unit wdt:P2370 ?conversion_to_SI . BIND ( ?yield * ?conversion_to_SI / 4184000000000.0 AS ?equivalent_nergie_kT ) } }";P31, P279, P585, P137, P2145, P2370
test_51;Who are the humans that are double first cousins, where their fathers are brothers and their mothers are sisters? Please avoid instances where the people were half siblings (i.e. shared a parent) or where they were more related in another way (i.e. shared a grandparent). Provide the item IDs of these individuals and their respective fathers and mothers.;"# Double cousins: children of 2 brothers marrying 2 sisters
SELECT 
  ?person
  ?relative
  ?f1
  ?m1
  ?f2
  ?m2
WITH
{
  SELECT   ?person   ?f1   ?m1   ?relative ?f2 ?m2 ?gf1 ?gf2 ?gm1 ?gm2
  {
    ?person wdt:P22 ?f1 ; wdt:P25 ?m1 .
    ?relative wdt:P22 ?f2 ;wdt:P25 ?m2 .
    { ?f1 wdt:P3373 ?f2 . ?m1 wdt:P3373 ?m2 .
    # checks to avoid half-siblings:
    ?f1 wdt:P22 ?gf1 ; wdt:P25 ?gm1 . 
    ?f2 wdt:P22 ?gf1 ; wdt:P25 ?gm1 .
    ?m1 wdt:P22 ?gf2 ; wdt:P25 ?gm2 .
    ?m2 wdt:P22 ?gf2 ; wdt:P25 ?gm2 .
    } 
    FILTER ( ?person != ?relative && ?f1 != ?f2 && ?m1 != ?m2 && ?gf1 != ?gf2  && ?gm1 != ?gm2 )  #avoid more closely related
  }
} as %basic
WHERE
{
    INCLUDE %basic
    ?person wdt:P31 wd:Q5 .
    ?relative wdt:P31 wd:Q5 .
}
";P22, P25, P3373, P31
test_52;Which items are part of the Camino de Santiago (also known as the Way of Saint James), including their coordinates, and the routes they are part of (where those routes are instances of a pilgrims' way)?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?Donejakue_bidea ?koordenatuak ?bidea WHERE { ?Donejakue_bidea ( wdt:P361 * ) wd:Q41150 ; wdt:P625 ?koordenatuak . ?Donejakue_bidea wdt:P361 ?bidea . ?bidea wdt:P31 wd:Q337912 . }";P361, P625, P31
test_53;"What are the items where the property ""properties for this type"" is used, along with the associated properties and their characteristics?";PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT ?item ?properties_for_this_type ?has_quality WHERE { ?item p:P1963 ?stm . ?stm ps:P1963 ?properties_for_this_type . ?stm pq:P1552 ?has_quality . };
test_54;Which international airports have exactly one runway? Please provide their labels and the number of runways, and order by the airport label.;PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?itemLabel ( count ( ?runway ) as ?runways ) WHERE { ?item wdt:P31 wd:Q644371 . optional { ?item wdt:P529 ?runway . } SERVICE wikibase:label { bd:serviceParam wikibase:language 'en' } } group by ?item ?itemLabel having ( ?runways = 1 ) order by ?itemLabel;P31, P529
test_55;Who are the 100 oldest living tennis players? Include their dates of birth, genders, and ages, and order by age in descending order. Exclude those who are 110 years old or older.;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?birth ?gender ?age WHERE { ?item wdt:P106 wd:Q10833314 ; wdt:P569 ?birth ; wdt:P21 ?gender . MINUS { ?item wdt:P570 [] } . BIND ( YEAR ( now () ) - YEAR ( ?birth ) as ?age ) . FILTER ( ?age < 110 ) } ORDER BY DESC ( ?age ) LIMIT 100";P106, P569, P21, P570
test_56;Who are the distinct individuals who were born in Almería Province and died in a Nazi concentration camp?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?person WHERE { ?person wdt:P20 [ wdt:P31 wd:Q328468 ] ; wdt:P19 [ wdt:P131 wd:Q81802 ] . }";P20, P31, P19, P131
test_57;"Which items are manga chapters that are part of the ""Detective Conan"" series? Provide each chapter's Japanese title (if available), volume (if available), series ordinal (if available), publication date (if available), and place of publication (if available).";PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?manga_chapter ?japanese_title ?volume ?series ?pub_date ?pub_place WHERE { ?manga_chapter wdt:P31 wd:Q53460949 . ?manga_chapter p:P179 ?qual . ?qual ps:P179 wd:Q185143 . OPTIONAL { ?qual pq:P478 ?volume . } OPTIONAL { ?qual pq:P1545 ?series . } OPTIONAL { ?manga_chapter p:P577 ?pub . ?pub ps:P577 ?pub_date . OPTIONAL { ?pub pq:P291 ?pub_place . } } OPTIONAL { ?manga_chapter wdt:P1476 ?japanese_title . } } ORDER BY ?series ?pub_date;P31, P1476
test_58;Which publishers have worked in Amsterdam? For each publisher, include their date of birth (if available), date of death (if available), image (if available), work location, and coordinates of both the publishers (if available) and their work locations (if available)?;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?date_of_birth ?date_of_death ?image ?worklocation ?coordinate_person ?coordinate_location WHERE { ?item wdt:P106 wd:Q2516866 ; wdt:P937 ?worklocation . ?worklocation wdt:P131 * wd:Q727 OPTIONAL { ?worklocation wdt:P625 ?coordinate_location } OPTIONAL { ?item p:P937 / pq:P625 ?coordinate_person } OPTIONAL { ?item wdt:P569 ?date_of_birth } OPTIONAL { ?item wdt:P570 ?date_of_death } OPTIONAL { ?item wdt:P18 ?image } }";P106, P937, P131, P625, P569, P570, P18
test_59;What are the individual branches (P527 parts), as well as the overarching libraries, for libraries that are part of the Georgia Public Library Service?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?part ?library WHERE { ?library wdt:P749 wd:Q30268112 ; wdt:P527 ?part . }";P749, P527
test_60;What are the properties and their values associated with John F. Kennedy?;PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?property ?value WHERE { wd:Q9696 ?predicate ?value . ?property wikibase:directClaim ?predicate . };
test_61;Get the country, the number of cumulative deaths, and the dates of those deaths related to the COVID-19 pandemic in Italy.;PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?country ?deaths ?date WHERE { wd:Q84104992 wdt:P17 ?country . wd:Q84104992 p:P1120 ?deaths_statement . ?deaths_statement a wikibase:BestRank . ?deaths_statement ps:P1120 ?deaths . ?deaths_statement pq:P585 ?date . } order by ?date;P17
test_62;How many women were born in India?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ( COUNT ( * ) AS ?count ) WHERE { ?item wdt:P31 wd:Q5 . ?item wdt:P21 wd:Q6581072 . ?item wdt:P19 / wdt:P17 wd:Q668 . };P31, P21, P19, P17
test_63;Which deceased Canadian individuals have a FamilySearch person ID and have a father who does not have a FamilySearch person ID? For each person, include their date of death, FamilySearch person ID, and their father.;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?person ?dod ?fsID ?father WHERE { ?person wdt:P31 wd:Q5 . ?person wdt:P27 wd:Q16 . ?person wdt:P570 ?dod . ?person wdt:P2889 ?fsID . ?person wdt:P22 ?father . FILTER NOT EXISTS { ?father wdt:P2889 ?father_fsID } };P31, P27, P570, P2889, P22
test_64;Which human settlements have changed their official name more than three times? For each result, please include the settlement's name, language tag, start time (if available), point in time (if available), and end time (if available).;"SELECT ?item ?name ?language_tag ?start ?point_of_time ?end
WITH
{
  # Select items with more than 3 official names, i.e. it has changed at least 3 times.
  SELECT ?item
  WHERE
  {
    ?item p:P1448 []. # Official name
  }
  GROUP BY ?item
  HAVING (COUNT(?item) > 3)
} AS %multiple_names
WITH
{
  SELECT ?item
  WHERE
  {
    INCLUDE %multiple_names
    ?item p:P1448 / ps:P1448 ?name.
  }
  GROUP BY ?item
  HAVING (COUNT(?item) > 3)
} AS %multiple_French_names
WHERE
{
  INCLUDE %multiple_French_names
  ?item wdt:P31 / wdt:P279 wd:Q486972. # ?item is a settelement
  ?item p:P1448 ?name_statement.
  ?name_statement ps:P1448 ?name.
  BIND (LANG(?name) AS ?language_tag).
  OPTIONAL { ?name_statement pq:P580 ?start. }
  OPTIONAL { ?name_statement pq:P585 ?point_of_time. }
  OPTIONAL { ?name_statement pq:P582 ?end. }
}
ORDER By ?item ?start ?point_of_time ?end
";P31, P279
test_65;Which chess players have a FIDE player ID but do not have an Elo rating recorded for January 2012?;PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item where { ?item wdt:P106 wd:Q10873124 . ?item wdt:P1440 ?fide . minus { ?item p:P1087 [ pq:P585 ?date ] . FILTER ( month ( ?date ) = 1 && year ( ?date ) = 2012 ) . } };P106, P1440
test_66;Which items have a heritage designation from a country different from the country they are located in, and have more than one such designation? Please include their labels, the labels of their countries, the labels of the countries of their heritage designations, and their coordinates if available. Order results by item label, country label, and heritage designation country label.;"SELECT distinct ?item ?itemLabel ?countryLabel ?designation_countryLabel ?coords
with {
Select ?item  (count(?item) as ?count)          # this select gets us items with more than one country / heritage designation
               where {
  ?item wdt:P1435 ?designation.                 # item has a heritage designation
  ?item wdt:P17 ?country.                       # item has a country 
  ?designation wdt:P17 ?designation_country.    # the heritage designation has a country
  filter (?country!=?designation_country)       # the country of the heritage designation is not the listing country
  
} group by ?item  having (?count>1) } as %candidates
 where {
include %candidates                             # this select finds properties of the items found in the last select
  ?item wdt:P1435 ?designation.                 # item has a heritage designation
  ?item wdt:P17 ?country.                       # item has a country 
  ?designation wdt:P17 ?designation_country.    # the heritage designation has a country 
  OPTIONAL {?item wdt:P625 ?coords.}            # item may have coordinates
  filter (?country!=?designation_country)       # the country of the heritage designation is not the listing country
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
 } order by ?itemLabel ?countryLabel ?designationLabel";P1435, P17, P625
test_67;What are the church buildings located in Normandy, along with the item of the places they are located in and their images?;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?lieu ?image WHERE { ?item ( wdt:P31 / ( wdt:P279 * ) ) wd:Q16970 ; wdt:P131 ?lieu . ?lieu ( wdt:P131 * ) wd:Q18677875 . ?item wdt:P18 ?image . }";P31, P279, P131, P18
test_68;"Which items are labeled ""Madonna and Child"" in English but do not have a label in French?";"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?item { BIND ( STRLANG ( ""Madonna and Child"" , ""en"" ) AS ?enlabel ) . ?item rdfs:label ?enlabel . FILTER NOT EXISTS { ?item rdfs:label ?frlabel . FILTER ( LANG ( ?frlabel ) = ""fr"" ) . } . }";
test_69;Who were the top 100 people with the highest Elo ratings in January 2023? Please include their Elo rating, and order by their Elo rating in descending order.;"SELECT ?item ?time ?elo WHERE 
{ 
  ?item wdt:P31 wd:Q5; 
        p:P1087 [ ps:P1087 ?elo; pqv:P585/wikibase:timeValue ?time ] . 
  FILTER (YEAR(?time) = 2023 && MONTH(?time) = 1) . 
} ORDER BY DESC(?elo) LIMIT 100
";P31
test_70;"Which items have an official website URL that contains the string ""twitter""?";"PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item { ?item wdt:P856 ?url . filter ( contains ( str ( ?url ) , ""twitter"" ) ) . }";P856
test_71;"Which items have exactly the string ""Fred Smith"" listed under its author name string?";"PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item { ?item wdt:P2093 ""Fred Smith"" . }";P2093
test_72;What are the cemeteries in Norway that have either a Commonwealth War Graves Commission burial ground ID or a Foreign war churchyards in Norway ID? Please provide their coordinates (if available), the relevant ID (if available), and an image (if available).;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?cem ?cwgc_id ?fwcn_id ?coor ?img WHERE { { ?cem wdt:P17 wd:Q20 . ?cem wdt:P1920 ?cwgc_id . } UNION { ?cem wdt:P8387 ?fwcn_id . } OPTIONAL { ?cem wdt:P625 ?coor } OPTIONAL { ?cem wdt:P18 ?img } };P17, P1920, P8387, P625, P18
test_73;Who has received the World Chess Championship award, including start times (if available) and end times of the award (if available)?;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?start_time ?end_time WHERE { ?item p:P166 ?statement . ?statement ps:P166 wd:Q190042 . OPTIONAL { ?statement pq:P580 ?start_time . } OPTIONAL { ?statement pq:P582 ?end_time . } };
test_74;What are the countries, ordered by their names in English?;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?itemLabel WHERE { ?item p:P31 / ps:P31 wd:Q6256 . SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"" . } } ORDER by ?itemLabel";
test_75;"Which items have a formatter URL that includes ""web.archive.org""?";"PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?item ?fURL WHERE { ?item wdt:P1630 ?fURL . filter ( contains ( ?fURL , ""web.archive.org"" ) ) }";P1630
test_76;What are the stars in the Hydra constellation with an apparent magnitude less than 6? Include their apparent magnitudes if available, and order the results by ascending apparent magnitude, and limit to 10 results.;"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?magaparent WHERE { ?item wdt:P59 wd:Q10578 ; wdt:P31 wd:Q523 . OPTIONAL { ?item wdt:P1215 ?magaparent } . FILTER ( ?magaparent < 6 ) } ORDER BY ASC ( ?magaparent ) LIMIT 10";P59, P31, P1215
test_77;What are the institutions located in municipalities or cantons of Switzerland that are described in Memobase? Include their types (if available), street addresses (if available), municipalities (if available), and cantons (if available). Exclude any institutions where the municipality is within the canton, as well as institutions that no longer exist. Order results by item ID.;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?type ?adress ?muni ?canton WHERE { ?item wdt:P1343 wd:Q96192978 . OPTIONAL { ?item wdt:P31 ?type } . OPTIONAL { ?item wdt:P6375 ?adress . } OPTIONAL { ?item wdt:P131 ?muni . ?muni wdt:P31 wd:Q70208 . ?muni p:P131 ?decl_loc2 . ?decl_loc2 ps:P131 ?canton . ?canton wdt:P31 wd:Q23058 . FILTER NOT EXISTS { ?decl_loc2 ps:P131 ?canton ; pq:P582 ?datefin . } } } GROUP BY ?item ?type ?adress ?muni ?canton ORDER BY ?item";P1343, P31, P6375, P131
test_78;"What are the software version identifiers for the wiki software named ""MediaWiki,"" and their publication dates if available? Order by publication date.";"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?software_version_identifier ?date WHERE { ?wiki_software wdt:P31 wd:Q6686945 . ?wiki_software rdfs:label ?wiki_softwareLabel . filter ( lang ( ?wiki_softwareLabel ) = ""en"" ) filter ( str ( ?wiki_softwareLabel ) = ""MediaWiki"" ) OPTIONAL { ?wiki_software p:P348 ?stat . ?stat ps:P348 ?software_version_identifier . OPTIONAL { ?stat pq:P577 ?date . } } } order by ?date";P31
test_79;What are the distinct museums located in Buenos Aires or any of its subdivisions, along with the administrative territorial entities they are located in?;PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?museo ?p131 WHERE { ?museo p:P31 / ps:P31 / wdt:P279 * wd:Q33506 . ?museo wdt:P131 ?p131 . wd:Q1486 wdt:P150 * ?p131 . };P279, P131, P150
test_80;How many musical ensembles were formed each year, grouped by the year of their inception and sorted by year?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?year ( count ( ?item ) as ?cnt ) WHERE { ?item wdt:P31 / wdt:P279 * wd:Q2088357 . ?item wdt:P571 ?publicationdate . BIND ( str ( year ( ?publicationdate ) ) as ?year ) FILTER ( bound ( ?year ) ) } GROUP BY ?year ORDER BY ?year;P31, P279, P571
test_81;Who are the individuals with a specified voice type (such as soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass, and their derivatives) but do not have a defined occupation? For each individual,  include their voice type.;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?voicetype WHERE { ?item wdt:P412 ?voicetype . FILTER NOT EXISTS { ?item wdt:P106 [] } ?item wdt:P31 wd:Q5 . };P412, P106, P31
test_82;What are the European Union member states, their populations, and their population ranks? Order by population rank.;"SELECT ?EU_member ?population (COUNT(?found_larger_population) + 1 AS ?population_rank)
WITH
{
  SELECT ?EU_member ?population
  WHERE
  {
    wd:Q458 wdt:P150 ?EU_member .
    ?EU_member wdt:P1082 ?population .
  }
}
AS %get_members_and_population
WHERE
{
  INCLUDE %get_members_and_population
  {
    SELECT (?population AS ?population2)
    WHERE
    {
      INCLUDE %get_members_and_population
    }
  }
  BIND (IF(?population2 > ?population, true, 1/0) AS ?found_larger_population)
}
GROUP BY ?EU_member ?population
ORDER BY DESC(?population)
";P150, P1082
test_83;"Who are the guests who have appeared on the German political TV talk show ""Anne Will,"" and how many distinct episodes has each guest appeared in, ordered by the number of appearances in descending order?";PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> select ?person ( count ( distinct ?episode ) as ?count ) where { ?episode wdt:P179 wd:Q565894 . ?episode wdt:P5030 ?person . } group by ?person order by desc ( ?count );P179, P5030
